technology_id,country,name,currency_base,currency_other,exchange_rate_per_usd,labour_day_cost_raw,calculation_base,calculation_unit,hectare_conversion_factor,establishment_labour_usd,establishment_equipment_usd,establishment_plant_material_usd,establishment_fertilizers_biocides_usd,establishment_construction_material_usd,establishment_other_usd,establishment_total_usd,establishment_n_items,establishment_total_estimation_reported,establishment_other_funding,maintenance_labour_usd,maintenance_equipment_usd,maintenance_plant_material_usd,maintenance_fertilizers_biocides_usd,maintenance_construction_material_usd,maintenance_other_usd,maintenance_total_usd,maintenance_n_items,maintenance_total_estimation_reported,maintenance_other_funding,costbenefit_establishment_short,costbenefit_maintenance_short,costbenefit_establishment_long,costbenefit_maintenance_long,cost_assumptions
1041,TJ,Passive solar greenhouses for winter commercial vegetable production,other,Somoni,4.5,9.00,,,,395.56,15.56,,,71.11,186.67000000000002,668.9,10,,MSDSP,17.78,,,,71.11,,88.89,2,,,SLIGHTLYPOSITIVE,SLIGHTLYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,"Apart from the cellophane cover, mainly local materials were used which did not require investments. If labour has to be paid, this is the most determinate factor, also wooden poles if they have to be bought."
1042,GR,Transport of freshwater from local streams,other,euro,0.7,,,,,1384.29,6524.29,,,,2.57,7911.15,6,,,197.14,678.5699999999999,,,,2160.0,3035.71,4,,,POSITIVE,NEUTRAL,POSITIVE,NEUTRAL,Diesel or electricity price affects the final cost.
1043,TJ,Gradual development of bench terraces from contour ditches,other,Somoni,4.5,5.00,,,,109.23,14.67,149.0,,0.67,22.67,296.24,10,,,29.59,,4.89,,,2.93,37.41,6,,,SLIGHTLYNEGATIVE,SLIGHTLYNEGATIVE,POSITIVE,POSITIVE,"The most affecting factors were the high cost inputs for construction material which  usually has to be imported into the area: Fuel, metal nets for fencing, cement, etc."
1044,CR,Shade-grown coffee,other,Colones,,7.00,,,,,,,,,,,6,,,,,,,,,,3,,,NEGATIVE,POSITIVE,POSITIVE,VERYPOSITIVE,"Los más importantes son: costo de mano de obra, fertilizantes y agroquímicos"
1045,ET,Hararghie Soil Bund,other,Birr,8.5,0.94,,,,10.47,10.64,2.21,4.15,,4.29,31.76,6,,,1.38,6.859999999999999,,,,12.87,21.11,4,,,SLIGHTLYNEGATIVE,NEUTRAL,POSITIVE,POSITIVE,excavation work requires more labour and it affects the cost of construction and maintenance
1046,ET,Ridge bund,other,Birr,8.0,1.00,,,,34.0,8.5,0.94,12.0,,,55.44,9,,,3.0,,0.62,12.0,,3.75,19.37,5,,,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,high labour requirment affects the cost of the technique
1047,ET,Stone faced level bund,other,Birr,8.6,0.80,,,,17.41,0.38,0.38,3.87,,,22.04,5,,,2.88,0.38,0.38,3.87,,,7.51,4,,,SLIGHTLYPOSITIVE,POSITIVE,SLIGHTLYNEGATIVE,POSITIVE,"Availability of local materials, the steepyness of site, soil type."
1048,ET,Area closure for rehabilitation,,,,,,,,,,,,,,,7,,,,,,,,,,5,,,POSITIVE,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,
1049,ET,Improved grazing land management,,,,,,,,,,,,,,,8,,,,,,,,,,7,,,SLIGHTLYPOSITIVE,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,
1050,TJ,Energy efficiency measures to increase the application of organic fertilisers.,other,TJS,4.5,11.00,,,,9.620000000000001,,13.07,,33.8,21.38,77.87,11,,,0.73,,,,,,0.73,1,,,POSITIVE,VERYPOSITIVE,VERYPOSITIVE,VERYPOSITIVE,"The price of the construction materials are dependent on many different external factors, and prices are generally increasing seasonally and annually."
